GID_2,n_hosts,predicted,log_residual,type,COUNTRY,NAME_1,NAME_2,realm
EGY.15.1_1,0,604.4265754707588,-2.7820614805898134,Coldspot (Undersampled),Egypt,As Suways,'Ataqah,Palearctic-South
EGY.15.3_1,0,551.5659101673215,-2.7423840881756782,Coldspot (Undersampled),Egypt,As Suways,Al-Janayin,Palearctic-South
EGY.16.3_1,0,877.3213829037661,-2.9436534558639034,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Abu Hammad,Palearctic-South
EGY.16.4_1,0,661.2250537031315,-2.8210056072212386,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Abu Kabir,Palearctic-South
EGY.16.5_1,0,916.4050359759051,-2.962561119805713,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Al-Husayniyah,Palearctic-South
EGY.16.10_1,0,780.6342802180428,-2.8930035980278404,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Bilbays,Palearctic-South
EGY.16.11_1,0,822.8589067032988,-2.915852841203269,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Diyarb Najm,Palearctic-South
EGY.16.12_1,0,600.3825406119518,-2.7791508154739204,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Faqus,Palearctic-South
EGY.16.16_1,0,1523.4455228370603,-3.1831119091513913,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Minya al-Qamh,Palearctic-South
EGY.16.17_1,0,806.1924623751834,-2.906977097772773,Coldspot (Undersampled),Egypt,Ash Sharqiyah,New Salhiyah,Palearctic-South
EGY.16.18_1,0,1655.144562361257,-3.21909824301384,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Ash Sharqiyah (unincorporated),Palearctic-South
EGY.16.19_1,0,1220.4698375917899,-3.0868827471758657,Coldspot (Undersampled),Egypt,Ash Sharqiyah,Zaqaziq,Palearctic-South
EGY.17.9_1,0,3851.032419109499,-3.5856899335358605,Coldspot (Undersampled),Egypt,Aswan,Aswan (unincorporated),Palearctic-South
EGY.18.7_1,0,501.93837596012776,-2.7015147750757893,Coldspot (Undersampled),Egypt,Asyut,Asyut,Palearctic-South
EGY.18.15_1,0,2537.44281415477,-3.4045673840980117,Coldspot (Undersampled),Egypt,Asyut,Asyut (unincorporated),Palearctic-South
EGY.19.3_1,0,516.7826134057667,-2.7141474631928877,Coldspot (Undersampled),Egypt,Bani Suwayf,Bani Suwayf,Palearctic-South
EGY.19.9_1,0,1267.3216159101908,-3.103229394164286,Coldspot (Undersampled),Egypt,Bani Suwayf,Bani Suwayf (unincorporated),Palearctic-South
EGY.21.1_1,0,859.3530129444617,-2.9346766839374605,Coldspot (Undersampled),Egypt,Dumyat,Damietta,Palearctic-South
EGY.22.6_1,0,467.97785806656333,-2.671152338777961,Coldspot (Undersampled),Egypt,Janub Sina',Ras Sidr,Palearctic-South
